period,ticker,type,region,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
Rebound,HYXF,ESG,Fixed Income,0.492518506484696,6.072978985183886,2.291193015785427,0.21496159559296635,5,41.66666666666667,-2.0587465993324394,12
Rebound,LCTD,ESG,US,1.1310888880397245,14.450106271079521,4.796735404862302,0.23580389422630543,5,41.66666666666667,-3.9689162798520417,12
Rebound,LDEM,ESG,Emerging,0.20822910340136577,2.5275659827857178,5.38529013504155,0.038666273901649166,6,50.0,-7.631467184494156,12
Rebound,PABU,ESG,Developed exUS,2.1992688897565946,29.82952482826924,4.786489002643472,0.4594743429979652,4,33.33333333333333,-6.080945400771576,12
Rebound,SUSA,ESG,US,1.7789115116290488,23.564473579164137,4.785409737607465,0.3717365093419234,5,41.66666666666667,-5.7929791285220915,12
Rebound,SUSB,ESG,Fixed Income,0.2572823653530426,3.1314534176604347,1.0561465947337711,0.24360478614987838,6,50.0,-1.3948469909621508,12
Rebound,SUSC,ESG,Fixed Income,0.38833027340542026,4.760791200563963,2.9612438110575723,0.13113755508930308,5,41.66666666666667,-3.470588795069973,12
Rebound,SUSL,ESG,US,2.1166624153621654,28.57583174544194,4.463590634003286,0.4742062139922949,4,33.33333333333333,-5.434205922230517,12
Rebound,USXF,ESG,US,2.3012434501047387,31.392613153875626,4.801808332161813,0.4792451699272012,4,33.33333333333333,-5.88626410093479,12
Rebound,ACWI,Conventional,Global,1.6050350510145905,21.055007797909674,4.384677270059852,0.36605545908118375,5,41.66666666666667,-4.1852011318327715,12
Rebound,AGG,Conventional,Fixed Income,0.21363043775646517,2.5939018362866273,2.4315132847347907,0.0878590460918523,7,58.333333333333336,-2.820647114070496,12
Rebound,IEFA,Conventional,Developed exUS,1.1795707429510673,15.110248333390185,4.670263849481374,0.25257047159809976,5,41.66666666666667,-3.8986185566135867,12
Rebound,IEMG,Conventional,Emerging,0.7657349622578423,9.585860608286412,5.097267755388365,0.1502245907032012,6,50.0,-6.595396051261826,12
Rebound,IVV,Conventional,US,1.9076301163190745,25.452819155404338,4.251595795352356,0.4486856719550823,4,33.33333333333333,-5.21096106554253,12
Anti-ESG,CRBN,ESG,Global,1.419183844141051,18.424438890623108,2.7504800910861738,0.5159767739240789,7,29.166666666666668,-3.9545676717983036,24
Anti-ESG,DMXF,ESG,Developed exUS,0.7445193624550803,9.309309528130338,3.3305740794433785,0.22354085052493652,9,37.5,-6.011949879371348,24
Anti-ESG,DSI,ESG,US,1.5150810181130847,19.775167470628663,3.5039838334532734,0.43238813023287564,7,29.166666666666668,-6.23358688210428,24
Anti-ESG,EAGG,ESG,Fixed Income,0.020970488297693733,0.2519363050628387,1.3581407991969738,0.015440584886407156,9,37.5,-2.7992285626253333,24
Anti-ESG,EMXF,ESG,Emerging,1.1651851275836878,14.914006648003886,2.8523909122644886,0.4084941943173761,8,33.33333333333333,-5.091715817773168,24
Anti-ESG,ERET,ESG,US,0.1753433860154502,2.124531603085944,4.00204567324314,0.043813439508639355,11,45.83333333333333,-10.087588278353598,24
Anti-ESG,ESGD,ESG,Developed exUS,1.01209835382215,12.844582771947376,3.0490269648472257,0.33194142442517305,8,33.33333333333333,-5.783413713521124,24
Anti-ESG,ESGE,ESG,Emerging,1.3972686835162977,18.117726692260216,3.0554870016300635,0.45729819265173527,6,25.0,-5.296298746840633,24
Anti-ESG,ESGU,ESG,US,1.521400393008887,19.86467102579148,3.19330293194045,0.47643472148894733,8,33.33333333333333,-6.223346219795911,24
Anti-ESG,EUSB,ESG,Fixed Income,0.06720596068119458,0.80945919943749,1.2629590712125696,0.05321309471784387,9,37.5,-2.5448765397218187,24
Anti-ESG,HYXF,ESG,Fixed Income,0.14252181567157063,1.7237319109384641,1.0005329403492993,0.1424459005036,10,41.66666666666667,-1.8402609259013158,24
Anti-ESG,LCTD,ESG,US,0.9905793488983577,12.55644382848493,3.06650286026412,0.32303225988611617,8,33.33333333333333,-5.611114044887444,24
Anti-ESG,LDEM,ESG,Emerging,1.2063690839410202,15.476637866883603,2.9715195942961095,0.4059771593822465,7,29.166666666666668,-4.928134921101057,24
Anti-ESG,PABU,ESG,Developed exUS,1.4098505467775593,18.293726195979353,3.407384422184387,0.4137632776620315,8,33.33333333333333,-6.698758377865732,24
Anti-ESG,SUSA,ESG,US,1.4173734212923403,18.399073599339587,3.1522559335139437,0.44963779946393456,6,25.0,-6.090161549991602,24
Anti-ESG,SUSB,ESG,Fixed Income,0.12746554580823588,1.5403555696036797,0.6205455798011874,0.2054088369287454,8,33.33333333333333,-1.2423248202193538,24
Anti-ESG,SUSC,ESG,Fixed Income,0.03495190670551179,0.42023010018854556,1.440001211492369,0.024272137013890985,10,41.66666666666667,-2.8449250674423388,24
Anti-ESG,SUSL,ESG,US,1.5811439385001296,20.713874923514396,3.4096890416410433,0.46372086110795124,6,25.0,-6.252823900045423,24
Anti-ESG,USXF,ESG,US,1.62190959735035,21.296485826630818,3.7721500144795277,0.4299695375646764,5,20.833333333333336,-6.627933413697795,24
Anti-ESG,ACWI,Conventional,Global,1.4151318977273584,18.367675185586418,2.6572566506531943,0.5325537137632141,5,20.833333333333336,-3.806129911883027,24
Anti-ESG,AGG,Conventional,Fixed Income,0.037776663104885824,0.45426301463309393,1.3512609993284126,0.027956599889777868,9,37.5,-2.7770822261021566,24
Anti-ESG,IEFA,Conventional,Developed exUS,1.050506904852704,13.36055334688151,3.1413875671076177,0.33440856386273327,8,33.33333333333333,-5.614464742373249,24
Anti-ESG,IEMG,Conventional,Emerging,1.2326388122548457,15.836837455158005,2.855557085761082,0.431663165972504,5,20.833333333333336,-4.2575632495211675,24
Anti-ESG,IVV,Conventional,US,1.5605008066170434,20.419828723275145,3.0891807055232205,0.5051503797841889,7,29.166666666666668,-5.932422686301642,24
